Longitude,Latitude,ElevationMeters,ICAO,WMO,Region,Country2
-161.0,23.0,-0.56975645,,0,,
-160.75,23.0,0.4376116,,0,,
-160.5,23.0,-1.7663296,,0,,
-160.25,23.0,-2.7772827,,0,,
-160.0,23.0,7.174908,,0,,
-159.75,23.0,5.7887316,,0,,
-159.5,23.0,7.1681366,,0,,
-159.25,23.0,7.5883713,,0,,
-159.0,23.0,-1.632492,,0,,
-158.75,23.0,-3.14932,,0,,
-158.5,23.0,-0.55701,,0,,
-158.25,23.0,2.0615892,,0,,
-158.0,23.0,1.9926788,,0,,
-157.75,23.0,0.95463955,,0,,
-157.5,23.0,0.6949306,,0,,
-157.25,23.0,0.07234608,,0,,
-157.0,23.0,-1.6137706,,0,,
-156.75,23.0,-1.0318154,,0,,
-156.5,23.0,-0.38214463,,0,,
-156.25,23.0,-0.2893345,,0,,
-156.0,23.0,-0.53032213,,0,,
-155.75,23.0,0.1265185,,0,,
-155.5,23.0,0.0022405873,,0,,
-155.25,23.0,0.3177153,,0,,
-155.0,23.0,0.22729515,,0,,
-154.75,23.0,0.0906691,,0,,
-154.5,23.0,-0.48411623,,0,,
-154.25,23.0,0.15997794,,0,,
-154.0,23.0,-0.12363063,,0,,
-161.0,22.75,-0.18258297,,0,,
-160.75,22.75,0.04924313,,0,,
-160.5,22.75,-1.7942126,,0,,
-160.25,22.75,4.853859,,0,,
-160.0,22.75,1.9922805,,0,,
-159.75,22.75,-10.246704,,0,,
-159.5,22.75,-7.655191,,0,,
-159.25,22.75,2.1643577,,0,,
-159.0,22.75,2.1205416,,0,,
-158.75,22.75,2.4376097,,0,,
-158.5,22.75,-1.9344236,,0,,
-158.25,22.75,-1.4456768,,0,,
-158.0,22.75,-1.032612,,0,,
-157.75,22.75,-1.34729,,0,,
-157.5,22.75,-0.28973284,,0,,
-157.25,22.75,0.30257887,,0,,
-157.0,22.75,0.77778256,,0,,
-156.75,22.75,0.55790627,,0,,
-156.5,22.75,0.07832097,,0,,
-156.25,22.75,0.55591464,,0,,
-156.0,22.75,0.09305906,,0,,
-155.75,22.75,0.34161487,,0,,
-155.5,22.75,0.3655145,,0,,
-155.25,22.75,-0.12363063,,0,,
-155.0,22.75,-0.12442728,,0,,
-154.75,22.75,0.22490518,,0,,
-154.5,22.75,-0.30646256,,0,,
-154.25,22.75,0.24043992,,0,,
-154.0,22.75,-0.1515135,,0,,
-161.0,22.5,0.71006703,,0,,
-160.75,22.5,1.9277515,,0,,
-160.5,22.5,4.2993884,,0,,
-160.25,22.5,2.0460546,,0,,
