Latitude,Longitude,ElevationMeters,Region,Country2
24.0,-60.0,0,,
24.0,-60.25,0,,
24.0,-60.5,0,,
24.0,-60.75,0,,
24.0,-61.0,0,,
24.0,-61.25,0,,
24.0,-61.5,0,,
24.0,-61.75,0,,
24.0,-62.0,0,,
24.0,-62.25,0,,
24.0,-62.5,0,,
24.0,-62.75,0,,
24.0,-63.0,0,,
24.0,-63.25,0,,
24.0,-63.5,0,,
24.0,-63.75,0,,
24.0,-64.0,0,,
24.0,-64.25,0,,
24.0,-64.5,0,,
24.0,-64.75,0,,
24.0,-65.0,0,,
24.0,-65.25,0,,
24.0,-65.5,0,,
24.0,-65.75,0,,
24.0,-66.0,0,,
24.0,-66.25,0,,
24.0,-66.5,0,,
24.0,-66.75,0,,
24.0,-67.0,0,,
24.0,-67.25,0,,
24.0,-67.5,0,,
24.0,-67.75,0,,
24.0,-68.0,0,,
24.0,-68.25,0,,
24.0,-68.5,0,,
24.0,-68.75,0,,
24.0,-69.0,2,,
24.0,-69.25,0,,
24.0,-69.5,0,,
24.0,-69.75,-1,,
24.0,-70.0,-1,,
24.0,-70.25,0,,
24.0,-70.5,0,,
24.0,-70.75,0,,
24.0,-71.0,1,,
24.0,-71.25,0,,
24.0,-71.5,0,,
24.0,-71.75,0,,
24.0,-72.0,0,,
24.0,-72.25,0,,
24.0,-72.5,0,,
24.0,-72.75,0,,
24.0,-73.0,0,,
24.0,-73.25,-1,,
24.0,-73.5,0,,
24.0,-73.75,0,,
24.0,-74.0,1,,
24.0,-74.25,1,,
24.0,-74.5,0,,
24.0,-74.75,0,,
24.0,-75.0,0,,
24.0,-75.25,2,,
24.0,-75.5,1,,
24.0,-75.75,0,,
24.0,-76.0,0,,
24.0,-76.25,-1,,
24.0,-76.5,0,,
24.0,-76.75,0,,
24.0,-77.0,0,,
24.0,-77.25,0,,
24.0,-77.5,2,,
24.0,-77.75,2,,
24.0,-78.0,0,,
24.0,-78.25,0,,
24.0,-78.5,0,,
24.0,-78.75,-1,,
24.0,-79.0,-1,,
24.0,-79.25,0,,
24.0,-79.5,0,,
24.0,-79.75,0,,
24.0,-80.0,0,,
24.0,-80.25,0,,
24.0,-80.5,1,,
24.0,-80.75,0,,
24.0,-81.0,0,,
24.0,-81.25,-2,,
24.0,-81.5,-1,,
24.0,-81.75,-2,,
24.0,-82.0,-2,,
24.0,-82.25,-1,,
24.0,-82.5,-3,,
24.0,-82.75,-1,,
24.0,-83.0,0,,
24.0,-83.25,0,,
24.0,-83.5,0,,
24.0,-83.75,0,,
24.0,-84.0,1,,
24.0,-84.25,0,,
24.0,-84.5,0,,
24.0,-84.75,0,,
24.0,-85.0,0,,
24.0,-85.25,0,,
24.0,-85.5,0,,
24.0,-85.75,0,,
24.0,-86.0,0,,
24.0,-86.25,0,,
24.0,-86.5,0,,
24.0,-86.75,0,,
24.0,-87.0,-1,,
24.0,-87.25,0,,
24.0,-87.5,0,,
24.0,-87.75,0,,
24.0,-88.0,0,,
24.0,-88.25,0,,
24.0,-88.5,1,,
24.0,-88.75,0,,
24.0,-89.0,0,,
24.0,-89.25,0,,
24.0,-89.5,0,,
24.0,-89.75,-2,,
24.0,-90.0,0,,
24.0,-90.25,0,,
24.0,-90.5,0,,
24.0,-90.75,0,,
24.0,-91.0,0,,
24.0,-91.25,0,,
24.0,-91.5,0,,
24.0,-91.75,0,,
24.0,-92.0,0,,
24.0,-92.25,0,,
24.0,-92.5,-1,,
24.0,-92.75,0,,
24.0,-93.0,0,,
24.0,-93.25,0,,
24.0,-93.5,0,,
24.0,-93.75,-1,,
24.0,-94.0,0,,
24.0,-94.25,0,,
24.0,-94.5,0,,
24.0,-94.75,0,,
24.0,-95.0,0,,
