Latitude,Longitude,ElevationMeters,Region,Country2
23.0,-161.0,-0.56975645,,
23.0,-160.75,0.4376116,,
23.0,-160.5,-1.7663296,,
23.0,-160.25,-2.7772827,,
23.0,-160.0,7.174908,,
23.0,-159.75,5.7887316,,
23.0,-159.5,7.1681366,,
23.0,-159.25,7.5883713,,
23.0,-159.0,-1.632492,,
23.0,-158.75,-3.14932,,
23.0,-158.5,-0.55701,,
23.0,-158.25,2.0615892,,
23.0,-158.0,1.9926788,,
23.0,-157.75,0.95463955,,
23.0,-157.5,0.6949306,,
23.0,-157.25,0.07234608,,
23.0,-157.0,-1.6137706,,
23.0,-156.75,-1.0318154,,
23.0,-156.5,-0.38214463,,
23.0,-156.25,-0.2893345,,
23.0,-156.0,-0.53032213,,
23.0,-155.75,0.1265185,,
23.0,-155.5,0.0022405873,,
23.0,-155.25,0.3177153,,
23.0,-155.0,0.22729515,,
23.0,-154.75,0.0906691,,
23.0,-154.5,-0.48411623,,
23.0,-154.25,0.15997794,,
23.0,-154.0,-0.12363063,,
22.75,-161.0,-0.18258297,,
22.75,-160.75,0.04924313,,
22.75,-160.5,-1.7942126,,
22.75,-160.25,4.853859,,
22.75,-160.0,1.9922805,,
22.75,-159.75,-10.246704,,
22.75,-159.5,-7.655191,,
22.75,-159.25,2.1643577,,
22.75,-159.0,2.1205416,,
22.75,-158.75,2.4376097,,
22.75,-158.5,-1.9344236,,
22.75,-158.25,-1.4456768,,
22.75,-158.0,-1.032612,,
22.75,-157.75,-1.34729,,
22.75,-157.5,-0.28973284,,
22.75,-157.25,0.30257887,,
22.75,-157.0,0.77778256,,
22.75,-156.75,0.55790627,,
22.75,-156.5,0.07832097,,
22.75,-156.25,0.55591464,,
22.75,-156.0,0.09305906,,
22.75,-155.75,0.34161487,,
22.75,-155.5,0.3655145,,
22.75,-155.25,-0.12363063,,
22.75,-155.0,-0.12442728,,
22.75,-154.75,0.22490518,,
22.75,-154.5,-0.30646256,,
22.75,-154.25,0.24043992,,
22.75,-154.0,-0.1515135,,
22.5,-161.0,0.71006703,,
22.5,-160.75,1.9277515,,
22.5,-160.5,4.2993884,,
22.5,-160.25,2.0460546,,
22.5,-160.0,-9.632484,,
22.5,-159.75,-5.084789,,
22.5,-159.5,1.7242067,,
22.5,-159.25,18.38621,,
22.5,-159.0,-1.588676,,
22.5,-158.75,0.30576548,,
22.5,-158.5,-1.0290271,,
22.5,-158.25,0.13129842,,
22.5,-158.0,1.3872223,,
22.5,-157.75,-0.67770296,,
22.5,-157.5,1.639363,,
22.5,-157.25,-1.5360969,,
22.5,-157.0,-0.55860335,,
22.5,-156.75,0.46629113,,
22.5,-156.5,-0.6796946,,
22.5,-156.25,-0.59604603,,
22.5,-156.0,0.19941227,,
22.5,-155.75,-0.3291672,,
22.5,-155.5,0.1639612,,
22.5,-155.25,0.27708596,,
22.5,-155.0,-0.011302519,,
22.5,-154.75,-0.23476376,,
22.5,-154.5,0.29501066,,
22.5,-154.25,-0.046355262,,
22.5,-154.0,-0.2279922,,
22.25,-161.0,-1.3819445,,
22.25,-160.75,0.17232606,,
22.25,-160.5,-1.0636815,,
22.25,-160.25,-9.127805,,
22.25,-160.0,1.9819239,,
22.25,-159.75,111.054115,,
22.25,-159.5,114.39926,,
22.25,-159.25,25.312712,,
22.25,-159.0,2.5694559,,
22.25,-158.75,-1.8328502,,
22.25,-158.5,5.4967585,,
22.25,-158.25,2.2444212,,
22.25,-158.0,1.1020204,,
22.25,-157.75,-2.1610713,,
22.25,-157.5,4.6546955,,
22.25,-157.25,0.0787193,,
22.25,-157.0,-2.3108423,,
22.25,-156.75,0.0890758,,
22.25,-156.5,-0.86611146,,
22.25,-156.25,-1.2405385,,
22.25,-156.0,-0.36302495,,
22.25,-155.75,-0.43313044,,
22.25,-155.5,-0.04197367,,
22.25,-155.25,0.048446476,,
22.25,-155.0,0.17152941,,
22.25,-154.75,-0.32120064,,
22.25,-154.5,-0.022057338,,
22.25,-154.25,-0.3638216,,
22.25,-154.0,-0.58489287,,
22.0,-161.0,-2.0742362,,
22.0,-160.75,0.5718477,,
22.0,-160.5,0.103415556,,
22.0,-160.25,-12.936205,,
22.0,-160.0,31.30673,,
22.0,-159.75,208.43143,,
22.0,-159.5,206.13786,,
22.0,-159.25,85.56041,,
22.0,-159.0,17.045044,,
22.0,-158.75,-2.010504,,
22.0,-158.5,5.828166,,
22.0,-158.25,-8.343101,,
22.0,-158.0,-10.986794,,
22.0,-157.75,-10.712746,,
22.0,-157.5,-0.27818137,,
22.0,-157.25,5.8727784,,
22.0,-157.0,2.6507144,,
22.0,-156.75,1.9424896,,
22.0,-156.5,3.6286063,,
22.0,-156.25,1.1382681,,
22.0,-156.0,0.6375716,,
22.0,-155.75,0.94229144,,
22.0,-155.5,2.436813,,
22.0,-155.25,-0.94617516,,
22.0,-155.0,-0.37059316,,
22.0,-154.75,-0.31203914,,
22.0,-154.5,-0.03719375,,
22.0,-154.25,-0.18258297,,
22.0,-154.0,-0.021659011,,
21.75,-161.0,-0.9027575,,
21.75,-160.75,1.5911655,,
21.75,-160.5,4.38702,,
21.75,-160.25,-4.086582,,
21.75,-160.0,-13.031405,,
21.75,-159.75,31.374048,,
21.75,-159.5,36.925526,,
21.75,-159.25,12.165941,,
21.75,-159.0,-9.6643505,,
21.75,-158.75,-0.21524575,,
21.75,-158.5,-5.3114367,,
21.75,-158.25,11.042262,,
21.75,-158.0,49.56284,,
21.75,-157.75,26.69132,,
21.75,-157.5,-8.323583,,
21.75,-157.25,-4.651808,,
21.75,-157.0,1.2860473,,
21.75,-156.75,-10.080203,,
21.75,-156.5,-4.7661276,,
21.75,-156.25,-4.482519,,
21.75,-156.0,-5.6137667,,
